Domine labia mea	or	ORIa	OR
Domine labia mea (in festis)	or	ORIb	OR
Venite exsultemus (mode 2d)	ps	ORIP2	OR
Venite exsultemus (mode 3g simplex)	ps	ORIP3a	OR
Venite exsultemus (mode 3f solemnis)	ps	ORIP3b	OR
Venite exsultemus (mode 4e simplex)	ps	ORIP4a	OR
Venite exsultemus (mode 4g festivus)	ps	ORIP4b	OR
Venite exsultemus (mode 4d solemnis)	ps	ORIP4c	OR
Venite exsultemus (mode 5g)	ps	ORIP5	OR
Venite exsultemus (mode 6a simplex)	ps	ORIP6a	OR
Venite exsultemus (mode 6f festivus)	ps	ORIP6b	OR
Venite exsultemus (mode 6f solemnis)	ps	ORIP6c	OR
Venite exsultemus (mode 7a simplex)	ps	ORIP7a	OR
Venite exsultemus (mode 7a solemnis)	ps	ORIP7b	OR
Regem venturum Dominum (in Dominicis)	in	A1F1I	OR
Regem venturum Dominum (in Feriis)	in	A1F2I	OR
Prope est jam Dominus (in Dominicis)	in	A3F1I	OR
Prope est jam Dominus (in Feriis)	in	A3F2I	OR
Verbum supernam prodiens	hy	A1H	OR
Non sit vobis vanum	in	Q1I	OR
Ex more docti mystico	hy	Q1H	OR
Hodie si vocem	in	Q5I	OR
Pange lingua... Lauream	hy	Q5H	OR
Surrexit Dominus vere	in	P1I	OR
Rex sempiterne coelitum	hy	P1H	OR
Te Deum laudamus (tonus solemnis)	hy	ORTDa	OR
Te Deum laudamus (tonus simplex)	hy	ORTDb	OR
Toni Communes Ad Gloria Patri (Modo I)	or	ORGP1	OR
Toni Communes Ad Gloria Patri (Modo II)	or	ORGP2	OR
Toni Communes Ad Gloria Patri (Modo III)	or	ORGP3	OR
Toni Communes Ad Gloria Patri (Modo IV)	or	ORGP4	OR
Toni Communes Ad Gloria Patri (Modo V)	or	ORGP5	OR
Toni Communes Ad Gloria Patri (Modo VI)	or	ORGP6	OR
Toni Communes Ad Gloria Patri (Modo VII)	or	ORGP7	OR
Toni Communes Ad Gloria Patri (Modo VIII)	or	ORGP8	OR
Benedicamus Domino (in Festis Solemnibus)	or	ORBDa	OR
Benedicamus Domino (in Festis Duplicibus)	or	ORBDb	OR
Benedicamus Domino (in Festis Semiduplicibus)	or	ORBDc	OR
Benedicamus Domino (in Festis Beatae Mariae Virginis)	or	ORBDd	OR
Benedicamus Domino (in Dominicis per annum)	or	ORBDe	OR
Benedicamus Domino (in Festis Simplicibus)	or	ORBDf	OR
Benedicamus Domino (In Officio B.M.V in Sabbato)	or	ORBDg	OR
Benedicamus Domino (In Feriis per annum)	or	ORBDh	OR
Benedicamus Domino (In Feriis Adventus Quadrageimae et Passionis)	or	ORBDi	OR
Benedicamus Domino (In Octavam Paschae)	or	ORBDj	OR
Benedicamus Domino (In Dominicis Temporis Paschalis)	or	ORBDk	OR
Benedicamus Domino (In Feriis Temporis Paschalis)	or	ORBDl	OR
Benedicamus Domino (In Dominicis Adventus et Quadragesimae)	or	ORBDm	OR
Toni Communes Ad Alleluia in Fine Antiphonarum	or	ORAL1	OR
Toni Communes Ad Alleluia In Fine Responsorium	or	ORAL2	OR
Toni Communes Pneumata In Fine Antiphonarum	or	ORAL3	OR
Adoremus Dominum	in	F1Iw	F1
Praeoccupemus faciem	in	7GF1I	F1
Primo die quo Trinitas	hy	F1Hw	F1
Dominum qui fecit nos	in	F1Is	F1
Nocte surgentes	hy	F1Hs	F1
Veniet ecce	an	A1F1N1A1	F1
Beatus vir... meditatur.	an	F1N1A1	F1
Confortate manus dissolutas	an	A1F1N1A2	F1
Servite Domino	an	F1N1A2	F1
Gaudete omnes	an	A1F1N1A3	F1
Exsurge Domine salvum	an	F1N1A3	F1
Alleluia ... lapis revolutus est	an	P1F1N1A	F1
Gaude et laetare ... filia Jerusalem	an	A1F1N2A1	F1
Quam admirabile	an	F1N2A1	F1
Rex noster adveniet	an	A1F1N2A2	F1
Sedisti super thronum	an	F1N2A2	F1
Ecce venio cito	an	A1F1N2A3	F1
Exsurge Domine non praevaleat	an	F1N2A3	F1
Alleluia ... quem quaeris mulier	an	P1F1N2A	F1
Gabriel Angelus ... Ave	an	A1F1N3A1	F1
Ut quid Domine recessisti	an	F1N3A1	F1
Maria dixit	an	A1F1N3A2	F1
Exsurge Domine Deus exaltetur	an	F1N3A2	F1
In adventu summi Regis	an	A1F1N3A3	F1
Justus Dominus et justitiam dilexit.	an	F1N3A3	F1
Alleluia ... noli flere Maria	an	P1F1N3A	F1
Venite ... Exsultemus Domino (Ad Invit)	in	F2I	F2
Somno refectis artubus	hy	F2H	F2
Dominus de coelo	an	F2N1A1	F2
Alleluia alleluia alleluia (Secunda T.P. in I Nocturno)	an	P1F2N1A	F2
